City,State,Year,Anti-Jewish,Anti-Islamic,Full,clean,lat,long
San Antonio,TX,2013,0,0,Texas,"san antonio, texas",29.424582,-98.494607
San Antonio,TX,2014,0,1,Texas,"san antonio, texas",29.424582,-98.494607
San Antonio,TX,2015,5,2,Texas,"san antonio, texas",29.424582,-98.494607
Hallettsville,TX,2010,0,0,Texas,"hallettsville, texas",29.4438528,-96.9410929
Hallettsville,TX,2011,0,1,Texas,"hallettsville, texas",29.4438528,-96.9410929
Hallettsville,TX,2012,0,0,Texas,"hallettsville, texas",29.4438528,-96.9410929
Hallettsville,TX,2013,0,0,Texas,"hallettsville, texas",29.4438528,-96.9410929
Hallettsville,TX,2014,0,0,Texas,"hallettsville, texas",29.4438528,-96.9410929
Hallettsville,TX,2015,0,0,Texas,"hallettsville, texas",29.4438528,-96.9410929
Pearland,TX,2010,0,0,Texas,"pearland, texas",29.55093,-95.256869
Pearland,TX,2011,0,0,Texas,"pearland, texas",29.55093,-95.256869
Pearland,TX,2012,0,1,Texas,"pearland, texas",29.55093,-95.256869
Pearland,TX,2013,0,0,Texas,"pearland, texas",29.55093,-95.256869
Pearland,TX,2014,0,0,Texas,"pearland, texas",29.55093,-95.256869
Pearland,TX,2015,0,0,Texas,"pearland, texas",29.55093,-95.256869
University Of Florida,FL,2010,0,0,Florida,"university of florida, florida",29.6436325,-82.3549302
University Of Florida,FL,2011,0,1,Florida,"university of florida, florida",29.6436325,-82.3549302
University Of Florida,FL,2012,0,0,Florida,"university of florida, florida",29.6436325,-82.3549302
University Of Florida,FL,2013,0,0,Florida,"university of florida, florida",29.6436325,-82.3549302
University Of Florida,FL,2014,0,0,Florida,"university of florida, florida",29.6436325,-82.3549302
University Of Florida,FL,2015,0,0,Florida,"university of florida, florida",29.6436325,-82.3549302
Gainesville,FL,2010,2,1,Florida,"gainesville, florida",29.651951,-82.323181
Gainesville,FL,2011,6,0,Florida,"gainesville, florida",29.651951,-82.323181
Gainesville,FL,2012,0,0,Florida,"gainesville, florida",29.651951,-82.323181
Gainesville,FL,2013,0,0,Florida,"gainesville, florida",29.651951,-82.323181
Gainesville,FL,2014,0,0,Florida,"gainesville, florida",29.651951,-82.323181
Gainesville,FL,2015,0,0,Florida,"gainesville, florida",29.651951,-82.323181
Baytown,TX,2010,0,0,Texas,"baytown, texas",29.7355047,-94.9774274
