Anti_Jewish,Anti_Islamic,state,city,latitude,longitude,date
2,0,Texas,Dallas,32.778154,-96.795399,2013
1,0,Texas,Dallas,32.778154,-96.795399,2014
2,1,Texas,Dallas,32.778154,-96.795399,2015
0,0,Arizona,Pinal,32.8162061,-111.2845025,2010
1,0,Arizona,Pinal,32.8162061,-111.2845025,2011
0,0,Arizona,Pinal,32.8162061,-111.2845025,2012
0,0,Arizona,Pinal,32.8162061,-111.2845025,2013
1,0,Arizona,Pinal,32.8162061,-111.2845025,2014
0,0,Arizona,Pinal,32.8162061,-111.2845025,2015
0,0,South Carolina,Isle Of Palms,32.8194131,-79.7343791,2010
1,0,South Carolina,Isle Of Palms,32.8194131,-79.7343791,2011
0,0,South Carolina,Isle Of Palms,32.8194131,-79.7343791,2012
0,0,South Carolina,Isle Of Palms,32.8194131,-79.7343791,2013
0,0,South Carolina,Isle Of Palms,32.8194131,-79.7343791,2014
0,0,South Carolina,Isle Of Palms,32.8194131,-79.7343791,2015
0,0,Texas,North Richland Hills,32.8342952,-97.2289029,2010
2,1,Texas,North Richland Hills,32.8342952,-97.2289029,2011
0,0,Texas,North Richland Hills,32.8342952,-97.2289029,2012
0,0,Texas,North Richland Hills,32.8342952,-97.2289029,2013
0,0,Texas,North Richland Hills,32.8342952,-97.2289029,2014
0,0,Texas,North Richland Hills,32.8342952,-97.2289029,2015
1,0,California,Santee,32.8383828,-116.9739167,2010
0,0,California,Santee,32.8383828,-116.9739167,2011
0,0,California,Santee,32.8383828,-116.9739167,2012
0,0,California,Santee,32.8383828,-116.9739167,2013
0,0,California,Santee,32.8383828,-116.9739167,2014
0,0,California,Santee,32.8383828,-116.9739167,2015
0,0,Texas,Southern Methodist Univ,32.8412178,-96.7845175,2010
0,0,Texas,Southern Methodist Univ,32.8412178,-96.7845175,2011
1,0,Texas,Southern Methodist Univ,32.8412178,-96.7845175,2012
1,0,Texas,Southern Methodist Univ,32.8412178,-96.7845175,2013
0,0,Texas,Southern Methodist Univ,32.8412178,-96.7845175,2014
0,0,Texas,Southern Methodist Univ,32.8412178,-96.7845175,2015
0,0,Texas,University Park,32.8550377,-96.797592,2010
0,0,Texas,University Park,32.8550377,-96.797592,2011
0,0,Texas,University Park,32.8550377,-96.797592,2012
0,0,Texas,University Park,32.8550377,-96.797592,2013
0,0,Texas,University Park,32.8550377,-96.797592,2014
1,0,Texas,University Park,32.8550377,-96.797592,2015
0,0,California,Un Of Ca: San Diego,32.8800604,-117.2340135,2010
1,0,California,Un Of Ca: San Diego,32.8800604,-117.2340135,2011
1,0,California,Un Of Ca: San Diego,32.8800604,-117.2340135,2012
1,0,California,Un Of Ca: San Diego,32.8800604,-117.2340135,2013
0,0,California,Un Of Ca: San Diego,32.8800604,-117.2340135,2014
0,0,California,Un Of Ca: San Diego,32.8800604,-117.2340135,2015
2,1,Arizona,Pima,32.8961755,-109.8275815,2010
2,0,Arizona,Pima,32.8961755,-109.8275815,2011
